round,average_reward,std_reward,min_reward,max_reward,episode_rewards
4,19.5,25.42538101976055,-10.0,57.0,41 16 57 -10 -4 4 42 56 -7 0
5,38.7,35.02870251665054,-1.0,100.0,100 81 1 29 81 41 32 -1 -1 24
6,62.1,30.23722870899382,5.0,100.0,100 53 77 5 47 80 91 89 17 62
7,75.8,15.561490931141526,53.0,100.0,53 100 89 68 59 70 95 89 61 74
8,86.9,11.04943437466371,69.0,100.0,83 100 100 69 100 87 92 82 87 69
9,94.6,6.003332407921453,79.0,100.0,95 98 89 98 94 100 99 79 96 98
10,93.5,6.216912416947821,80.0,100.0,100 100 90 96 100 92 91 88 80 98
11,92.0,12.66491215919005,56.0,100.0,100 100 89 100 89 95 96 100 95 56
12,92.8,15.138031576133008,49.0,100.0,98 100 100 100 49 94 100 100 100 87
13,92.2,7.507329751649384,77.0,100.0,88 97 89 92 96 100 83 77 100 100
14,97.4,2.727636339397171,92.0,100.0,100 97 96 99 92 100 100 100 94 96
15,96.4,5.834380858325929,83.0,100.0,91 100 100 100 100 90 100 100 100 83
16,97.2,5.617828762075256,85.0,100.0,100 100 100 100 100 87 85 100 100 100
17,95.4,7.28285658241325,76.0,100.0,100 76 100 100 93 100 100 94 91 100
18,95.6,7.08801805866774,80.0,100.0,86 100 100 100 90 80 100 100 100 100
19,87.3,28.71950556677465,3.0,100.0,100 100 100 86 100 84 100 100 100 3
20,81.1,32.35567956325442,6.0,100.0,100 99 76 100 100 100 32 98 100 6
21,95.9,5.664803615307418,82.0,100.0,100 95 100 100 100 100 90 82 94 98
22,98.3,2.5709920264364885,93.0,100.0,94 100 100 100 93 100 100 99 97 100
23,92.7,6.372597586541928,84.0,100.0,87 100 100 94 84 100 84 98 87 93
24,95.1,6.441273166075166,81.0,100.0,86 100 100 100 100 91 81 98 97 98
25,90.4,23.829393613770367,20.0,100.0,86 100 100 98 100 20 100 100 100 100
26,97.7,2.9,90.0,100.0,98 100 100 98 98 97 96 100 100 90
27,87.2,28.641927309453184,3.0,100.0,100 100 3 94 100 81 100 100 100 94
28,98.8,2.4,92.0,100.0,100 100 100 100 100 100 98 98 92 100
29,97.4,4.923413450036469,85.0,100.0,100 100 98 100 100 100 91 100 85 100
30,97.7,3.7960505792204615,88.0,100.0,88 100 94 100 99 100 100 96 100 100
31,95.0,6.985699678629192,80.0,100.0,88 100 95 80 100 100 87 100 100 100
32,97.9,4.346262762420146,87.0,100.0,100 100 87 100 100 100 92 100 100 100
33,96.7,5.9169248769948055,81.0,100.0,100 81 100 96 100 100 100 91 99 100
34,95.4,6.7111846942250075,77.0,100.0,100 94 100 95 94 77 100 100 94 100
35,97.3,4.026164427839479,87.0,100.0,100 97 98 100 93 100 87 98 100 100
36,97.2,4.4,86.0,100.0,98 94 100 100 100 100 86 100 100 94
37,97.0,5.2345009313209605,84.0,100.0,100 100 100 84 98 90 98 100 100 100
38,96.7,5.1778373863998475,83.0,100.0,100 100 98 96 100 92 83 100 98 100
39,98.4,2.009975124224178,94.0,100.0,97 100 100 100 96 100 100 94 98 99
40,89.5,25.749757280409458,13.0,100.0,92 100 90 100 100 100 100 100 100 13
41,99.4,1.2806248474865698,96.0,100.0,100 100 100 100 100 100 96 100 100 98
42,98.5,2.5787593916455256,93.0,100.0,98 100 100 100 93 100 94 100 100 100
43,96.6,5.517245689653489,84.0,100.0,88 100 98 100 84 100 100 100 100 96
44,99.4,1.8,94.0,100.0,100 100 100 100 100 94 100 100 100 100
45,91.8,21.655484293822663,27.0,100.0,98 100 100 100 95 100 98 100 100 27
46,91.6,19.037857022259622,35.0,100.0,100 100 93 98 100 100 100 96 35 94
47,98.2,2.1354156504062622,94.0,100.0,100 100 100 97 98 100 100 94 98 95
48,98.1,3.6999999999999997,88.0,100.0,100 100 100 88 100 95 100 98 100 100
49,90.3,25.87682360723588,13.0,100.0,100 100 13 100 100 100 98 92 100 100
50,99.2,1.6,96.0,100.0,100 96 100 100 100 100 100 96 100 100
51,89.0,24.971984302413777,16.0,100.0,98 95 100 100 100 100 100 16 81 100
52,94.7,7.211795892841116,79.0,100.0,94 98 79 100 100 84 100 100 100 92
53,96.4,9.25418824100742,69.0,100.0,100 100 100 69 100 100 95 100 100 100
54,99.6,0.8,98.0,100.0,100 100 100 100 100 98 98 100 100 100
55,91.5,22.59756624063751,24.0,100.0,24 100 93 100 100 98 100 100 100 100
56,84.8,30.400000000000002,24.0,100.0,100 100 100 100 100 24 100 100 100 24
57,90.7,8.820997676000147,75.0,100.0,81 81 97 85 98 93 100 97 100 75
58,98.9,2.3853720883753127,92.0,100.0,92 98 100 100 99 100 100 100 100 100
59,94.7,12.133012816279392,59.0,100.0,100 100 100 100 100 100 94 94 59 100
60,97.1,4.742362280551751,85.0,100.0,100 98 100 96 100 92 100 100 100 85
61,99.2,1.8330302779823362,94.0,100.0,100 100 100 100 100 100 100 98 100 94
62,98.7,2.1931712199461306,94.0,100.0,98 94 100 100 100 95 100 100 100 100
63,99.5,1.5,95.0,100.0,100 100 100 100 100 100 95 100 100 100
64,99.6,1.2,96.0,100.0,100 100 100 100 100 100 100 100 96 100
65,89.8,20.26721490486544,30.0,100.0,100 30 91 99 100 94 91 93 100 100
66,95.6,5.407402333838309,83.0,100.0,94 100 100 100 95 100 83 90 100 94
67,97.2,4.728636167014756,86.0,100.0,100 100 91 100 100 86 100 100 100 95
68,97.1,3.0149626863362666,92.0,100.0,100 95 100 100 95 92 100 95 94 100
69,97.2,5.325410782277738,83.0,100.0,100 100 100 100 92 83 100 97 100 100
70,97.6,4.565084884205331,85.0,100.0,100 95 100 100 100 100 96 100 85 100
71,97.3,5.967411499134277,80.0,100.0,80 100 100 100 100 100 100 100 95 98
72,97.5,5.239274758971894,84.0,100.0,100 100 100 100 100 100 100 100 84 91
73,97.0,4.604345773288535,85.0,100.0,100 95 100 100 96 100 100 100 85 94
74,98.9,2.211334438749598,94.0,100.0,100 95 100 94 100 100 100 100 100 100
75,98.0,4.219004621945797,87.0,100.0,100 100 100 87 100 100 100 93 100 100
76,98.4,3.32264954516723,90.0,100.0,100 100 100 100 90 100 100 100 100 94
77,99.4,1.0198039027185568,97.0,100.0,100 99 100 100 98 100 100 97 100 100
78,99.2,1.8330302779823362,94.0,100.0,100 94 100 98 100 100 100 100 100 100
79,96.5,5.643580423808985,84.0,100.0,100 100 100 84 100 100 92 100 100 89
80,95.8,4.749736834815167,85.0,100.0,94 100 90 97 85 96 100 96 100 100
81,88.1,22.169573744210783,24.0,100.0,99 100 100 95 100 87 100 24 94 82
82,88.8,24.68926892396776,17.0,100.0,100 100 100 100 90 100 100 81 17 100
83,99.8,0.6,98.0,100.0,100 100 100 98 100 100 100 100 100 100
84,96.8,7.12460525222275,77.0,100.0,100 100 100 91 100 77 100 100 100 100
85,97.6,4.363484845854285,86.0,100.0,100 96 100 100 100 94 86 100 100 100
86,98.3,2.238302928559939,94.0,100.0,100 97 100 100 95 100 97 100 100 94
87,99.8,0.6,98.0,100.0,100 100 100 100 100 100 100 100 98 100
88,95.8,7.678541528180986,80.0,100.0,99 100 100 100 100 98 100 80 100 81
89,83.0,31.578473680657844,16.0,100.0,99 16 97 24 100 98 100 100 100 96
90,90.1,23.287120904053385,21.0,100.0,100 100 100 100 96 100 89 21 95 100
91,96.9,6.579513659838392,78.0,100.0,97 94 100 78 100 100 100 100 100 100
92,95.6,7.323933369440222,79.0,100.0,92 79 85 100 100 100 100 100 100 100
93,97.3,5.728001396647874,81.0,100.0,100 100 100 98 94 100 100 100 100 81
94,94.2,6.554387843269576,80.0,100.0,80 100 100 96 98 89 100 95 98 86
95,99.1,1.8138357147217055,94.0,100.0,100 99 100 98 100 100 94 100 100 100
96,89.6,27.583328298086148,7.0,100.0,96 100 97 100 100 100 96 100 100 7
97,91.4,25.8,14.0,100.0,100 100 100 100 100 100 100 100 100 14
98,98.8,3.6,88.0,100.0,100 100 100 100 100 100 100 88 100 100
99,96.9,4.182104733265296,89.0,100.0,100 92 100 100 100 98 89 91 100 99
100,97.0,6.841052550594828,77.0,100.0,98 100 100 77 100 100 100 100 100 95
101,99.1,1.445683229480096,96.0,100.0,100 97 100 100 100 100 100 96 98 100
102,98.1,3.3600595232822887,91.0,100.0,98 100 92 100 100 91 100 100 100 100
103,91.6,24.86845391253747,17.0,100.0,99 17 100 100 100 100 100 100 100 100
104,99.3,1.4177446878757824,96.0,100.0,100 100 100 100 100 100 97 100 100 96
105,99.4,1.2,97.0,100.0,100 97 100 100 97 100 100 100 100 100
106,92.3,10.517128885774861,67.0,100.0,79 100 96 100 89 96 100 67 96 100
107,99.5,1.02469507659596,97.0,100.0,100 100 100 98 100 100 97 100 100 100
108,98.4,2.764054992217051,93.0,100.0,100 100 100 100 100 93 93 98 100 100
109,91.0,23.426480742954116,21.0,100.0,100 100 98 100 21 98 100 100 93 100
110,99.1,2.7,91.0,100.0,100 91 100 100 100 100 100 100 100 100
111,95.7,5.177837386399847,88.0,100.0,88 96 98 88 100 100 88 100 99 100
112,98.7,1.7916472867168918,95.0,100.0,100 100 98 95 100 100 100 96 100 98
113,99.0,2.04939015319192,94.0,100.0,100 100 94 100 100 96 100 100 100 100
114,96.4,4.317406628984581,86.0,100.0,100 86 100 97 100 93 99 100 94 95
115,97.3,4.148493702538308,86.0,100.0,100 96 100 86 100 98 98 95 100 100
116,98.5,3.383784863137726,89.0,100.0,100 96 100 89 100 100 100 100 100 100
117,99.6,1.2,96.0,100.0,100 100 100 100 100 96 100 100 100 100
118,96.8,3.5721142198983507,90.0,100.0,100 96 100 93 100 100 96 100 90 93
119,97.2,5.325410782277739,83.0,100.0,100 100 83 100 100 100 100 100 97 92
120,97.9,2.7,93.0,100.0,100 100 94 100 100 100 96 93 96 100
121,90.8,25.976142900746446,13.0,100.0,95 100 100 100 100 100 100 100 13 100
122,97.5,3.905124837953327,89.0,100.0,100 91 100 98 100 89 100 100 97 100
123,97.0,2.8635642126552705,92.0,100.0,100 94 96 98 96 100 92 94 100 100
124,96.4,4.31740662898458,87.0,100.0,100 100 100 100 87 94 95 99 91 98
125,98.7,2.685144316419511,91.0,100.0,98 91 100 98 100 100 100 100 100 100
126,96.0,5.385164807134504,86.0,100.0,93 100 87 100 86 100 94 100 100 100
127,99.8,0.6,98.0,100.0,100 100 100 100 100 100 100 100 100 98
128,98.6,3.5832945734337835,88.0,100.0,100 100 100 98 100 100 88 100 100 100
129,98.9,2.211334438749598,94.0,100.0,94 100 100 100 100 95 100 100 100 100
130,98.9,1.8138357147217055,95.0,100.0,100 100 100 100 98 95 100 96 100 100
131,88.0,26.180145148566307,11.0,100.0,92 100 96 98 100 100 100 83 100 11
132,98.0,2.932575659723036,91.0,100.0,91 96 100 100 100 100 100 98 95 100
